section_id,section_title,section_viet,section_num,section_note,item_code,item_viet,item_eng,price,size_S,size_M,size_L,size_XL
hotpot,New Seafood Hot Pot,Lẩu Hải Sản,01,All hot pots are served with a live burner at your table — please notify us of any food or nuts allergies.,—,Special Hot Pot,"Tôm, cua, chem chép, ốc, cá viên, bò viên, tái — Shrimp, imitation crab meat, mussel, surf clam, squid, fish ball, beef ball, rare beef",128.00,,,,
,,,,,—,Special Hot Pot for 2,"Same as Special Hot Pot, portioned for two",72.00,,,,
,,,,,—,Regular Hot Pot,"Tôm, cua, cá viên, bò viên, tái — Shrimp, imitation crab meat, squid, fish ball, beef ball, rare beef",108.00,,,,
,,,,,—,Regular Hot Pot for 2,"Same as Regular Hot Pot, portioned for two",62.00,,,,
sides,Small Side Order,Món Phụ,02,,1,Dĩa Chả Lụa,Vietnamese sausage (s.dish),5.99,,,,
,,,,,2,Chén Cơm,Steamed rice (s.bowl),5.99,,,,
,,,,,3,Chả Giò (1),Spring roll (1),5.50,,,,
,,,,,4,Nem Nướng (1),Grilled meat ball (1),5.99,,,,
,,,,,5,Chạo Tôm (1),Grilled shrimp on sugar cane (1),7.50,,,,
,,,,,6,Tôm Rim (1),Shrimp with sauce (side),7.50,,,,
,,,,,7,Trứng Ổp La (1),Fried egg (1),2.99,,,,
,,,,,8,Sườn Nướng (1),Grilled pork chop (1),6.99,,,,
,,,,,9,Gà Nướng (1),Grilled chicken with lemongrass (1),6.99,,,,
,,,,,10,Chả Trứng (1),Steamed egg mixed w/ ground pork (1),3.99,,,,
,,,,,11,Tàu Hủ Ky (1),Bean curd wrapped shrimp paste (1),7.50,,,,
,,,,,12,Chén Bì,Shredded pork skin (s.dish),5.99,,,,
,,,,,13,Chén Phở,Rice noodle (s.bowl),5.25,,,,
,,,,,14,Súp Hột Gà (2 trứng),Egg soup (2 eggs) (s.bowl),7.50,,,,
,,,,,15,Dĩa Tái,Rare beef (s.dish),6.99,,,,
,,,,,16,Chén Bò Viên,Beef balls (s.bowl),6.99,,,,
,,,,,17,Chén Gân,Soft tendon (s.bowl),6.99,,,,
,,,,,18,Chén Sách,Beef tripe (s.bowl),6.99,,,,
,,,,,19,Chén Nạm,Well-done flank (s.bowl),6.99,,,,
,,,,,20,Chén Vè Dòn,Tendon brisket (s.bowl),6.99,,,,
,,,,,21,Chén Huyết,Pork blood pudding (s.bowl),5.99,,,,
,,,,,22,Xíu Mại,"Vietnamese meatball with pork, jicama onion, tomato sauce",6.50,,,,
appetizers,Appetizers,Khai Vị,03,,98,Càng Cua Chiên,Deep fried crab ball (each),7.99,,,,
,,,,,99,Cánh Gà Chiên,"Deep fried chicken wings, per lb (12 min)",13.99,,,,
,,,,,99a,Cánh Gà Chiên Với Sauce,"Deep fried chicken wings with sauce, per lb (12 min)",14.50,,,,
,,,,,100,Hoành Thánh Chiên,Deep fried wonton (shrimp & pork),,8.25,,14.50,
,,,,,101,Chả Giò,"Deep fried spring roll w/ shrimp, pork & vegetable (2 or 4 rolls)",,8.25,,14.50,
,,,,,102,Gỏi Xoài,"Mango salad, green & red pepper & fried shrimp paste",13.50,,,,
,,,,,103,Bì Cuốn,Shredded pork skin & salad roll (2 or 4 rolls),,8.25,,14.50,
,,,,,104,Gỏi Cuốn Tôm Thịt,"Fresh shrimp, pork & salad roll with vermicelli & peanut sauce (2 or 4 rolls)",,8.25,,14.50,
,,,,,105,Gỏi Ngó Sen Tôm,"Lotus root salad, mint leaves with shrimp, pickle, peanut",13.99,,,,
,,,,,106,Síu Mại Tôm Heo (10pc.),Pork & shrimp siu mai (15 min),13.99,,,,
,,,,,107,Síu Mại Tôm (10pc.),Shrimp siu mai (15 min),13.99,,,,
,,,,,108,Síu Mại Gà (10pc.),Chicken siu mai (15 min),13.99,,,,
,,,,,109,Bánh Cuốn Nóng (không chả lụa),"Steamed rice flour with ground pork, black fungus, without sausage",13.50,,,,
,,,,,110,Bánh Cuốn Nóng Chả Lụa,"Steamed rice flour w/ ground pork, black fungus & Vietnamese sausage",14.50,,,,
,,,,,111,Há Cảo Tôm (10pc.),Shrimp dumpling (15 min),13.99,,,,
,,,,,112,Bánh Xèo,"Vietnamese crepes w/ vegetable & shrimp, pork, or chicken",15.25,,,,
,,,,,113,Mực Chiên Dòn Rau Cải,Deep fried squid & vegetable,17.50,,,,
,,,,,114,Tôm Chiên Dòn Rau Cải,Deep fried shrimp & vegetable,17.50,,,,
banhmi,Vietnamese Sandwich,Bánh Mì,04,,S01,Bánh Mì Đặc Biệt,"Assorted meats sandwich & side of broth or pop — cold cuts, Vietnamese ham/sausage, pork belly, pâté, pickled veggies, cilantro, hot chili",11.99,,,,
,,,,,S02,Bánh Mì Xá Xíu,"BBQ pork sandwich & side of broth or pop — pâté, butter, pickle veggies, cucumber, cilantro, hot chili",11.75,,,,
,,,,,S03,Bánh Mì Bì,"Shredded pork skin sandwich & side of broth or pop — Vietnamese ham, pâté, butter, pickle veggies",11.75,,,,
,,,,,S04,Bánh Mì Heo/Bò Hoặc Gà,"Grilled pork, beef, or chicken sandwich & side of broth or pop",11.75,,,,
,,,,,S05,Bánh Mì Xíu Mại,"Xiu mai sandwich & side of broth or pop — Vietnamese meatball w/ pork, jicama onion, tomato sauce",11.75,,,,
,,,,,B01,Bánh Bao,"Siu bao — ground pork, egg, sausage & vegetable",6.50,,,,
noodles,Clear & Egg Noodle,Hủ Tiếu Mì,05,,212,Hủ Tiếu Mỹ Tho (khô hoặc nước),“My Tho” style seafood & BBQ pork clear noodle soup (or on the side),16.25,,,,
,,,,,213,Mì Đặc Biệt (khô hoặc nước),Special seafood & BBQ pork egg noodle soup (or on the side),16.25,,,,
,,,,,214,Hủ Tiếu Mì (khô hoặc nước),Seafood & BBQ pork clear noodle & egg noodle soup (or on the side),16.25,,,,
,,,,,215,Bún Bò Huế,"“Hue” style beef, pork hock & blood pudding w/ vermicelli in spicy soup",16.75,,,,
,,,,,216,Hoành Thánh Mì,"Wonton (shrimp & pork) with BBQ pork, egg noodle soup",,,16.25,17.50,18.75
,,,,,217,Súp Hoành Thánh,Wonton soup (shrimp & pork),,13.75,14.99,16.50,17.50
